ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,ip_proto,service,pcap_id,device_type,log_type,trans_depth,method,host,uri,version,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,from_client,retain,qos,status,topic,payload,payload_len,auth_attempts,client,server,cipher_alg,mac_alg,compression_alg,kex_alg,host_key_alg,host_key,auth_success
1739536607.068133,CGxBxl3en6yMbdxKA8,192.168.1.87,50336,54.69.37.156,443,tcp,0.116700887680053,0.0,389.0,OTH,True,False,0.0,^adAR,2.0,80.0,2.0,469.0,6.0,,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.621418,CwzJvg1V59ReXXjaX4,192.168.1.100,39252,192.168.1.205,22,tcp,0.141499996185302,1302.0,1018.0,SF,True,True,0.0,ShADadFf,12.0,1934.0,11.0,1598.0,6.0,ssh,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536607.708446,CfFBkf1cfOee8KQDra,192.168.1.102,58918,8.8.8.8,53,udp,0.024259090423583003,32.0,107.0,SF,True,False,0.0,Dd,1.0,60.0,1.0,135.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536614.528952,C9LdHVV0aUXR0rvT9,192.168.1.52,43544,192.168.1.1,1900,tcp,0.005341053009033,60.0,279.0,SF,True,True,0.0,ShADadfF,5.0,328.0,5.0,547.0,6.0,http,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.626913,CqBZme1GGnrbj6tdG9,192.168.1.205,52487,8.8.4.4,53,udp,0.023983001708984,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.626913,C3aukY3Tn7L3ft70i3,192.168.1.205,52487,8.8.8.8,53,udp,0.023983001708984,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.989003,Cnjzsa3VTxftZgkKr7,192.168.1.205,48536,8.8.8.8,53,udp,0.023981094360351,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.989003,ChgWyr26sf7zMlVjQb,192.168.1.205,48536,8.8.4.4,53,udp,0.023981094360351,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.995964,Ci99rY1R5npbenDl8h,192.168.1.205,59704,8.8.4.4,53,udp,0.023694992065429,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.995964,CK7WwR1dueUC0yvd95,192.168.1.205,59704,8.8.8.8,53,udp,0.023694992065429,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.999312,Cq8X1z4wV9H5sKlkr2,192.168.1.205,57807,8.8.8.8,53,udp,0.023786067962646002,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.999312,CDKpda1s6fJNxb3eC3,192.168.1.205,57807,8.8.4.4,53,udp,0.024772167205810002,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536610.002975,CDnd1D43amqSUU7Xh5,192.168.1.205,43734,8.8.8.8,53,udp,0.023963928222656,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536610.002976,C8HtkX2oXIiVIVL7bj,192.168.1.205,43734,8.8.4.4,53,udp,0.023964166641235,44.0,44.0,SF,True,False,0.0,Dd,1.0,72.0,1.0,72.0,17.0,dns,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.98407,Cw20pEDcjNWaHlsp7,192.168.1.100,39302,192.168.1.205,22,tcp,9.956357955932617,74390.0,194730.0,SF,True,True,0.0,ShADadFf,772.0,114542.0,780.0,235298.0,6.0,ssh,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739536609.982851,Cnhf5f3B5WsnfZc3Fc,192.168.1.100,39266,192.168.1.205,22,tcp,9.957576990127563,72678.0,189946.0,SF,True,True,0.0,ShADadFf,754.0,111894.0,763.0,229630.0,6.0,ssh,attack_bruteforce_dictionary-ssh_ap,attack_bruteforce_dictionary-ssh_ap,conn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
